"id","timestamp","horario_de_pico","cpu_percent","memory_percent","memory_available","processos_ativos","disk_percent","disk_avl"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:23:30.331736","True",1,47.2,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:23:41.387387","True",0,47.2,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:23:52.449885","True",0,47.2,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:24:03.514708","True",1.1,47.3,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:24:14.577822","True",0,47.3,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:24:25.647982","True",0,47.3,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:24:36.722243","True",0,47.3,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:24:47.849645","True",1,47.4,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:24:58.886359","True",3.2,47.2,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:25:09.962870","True",4.3,47.2,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:25:21.041853","True",5.7,47.2,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:25:32.120163","True",16.7,47.4,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:25:43.309493","True",0,47.3,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:25:54.398602","True",1.1,47.2,"8.3G",218,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:26:05.491651","True",1.1,47.2,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:26:16.569520","True",1,47.2,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:26:27.642012","True",0,47.3,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:26:38.726666","True",2.9,47.3,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:26:49.813473","True",0,47.3,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:27:00.903673","True",0,47.3,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:27:11.972585","True",1,47.2,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:27:23.043133","True",2.9,47.2,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:27:34.118622","True",1.1,47.2,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:27:45.188850","True",0,47.2,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:27:56.251141","True",0,47.4,"8.3G",217,20.1,"380.4G"
"de1e21dac020fc777fc6653e7ef23531e0fd40d6946b2bee79b45ac9144c1854","2025-10-03 09:28:07.345895","True",0,47.3,"8.3G",215,20.1,"380.4G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:24:39.878182","False",19.4,56.5,"6.9G",218,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:24:50.072849","False",20,56.3,"7.0G",218,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:25:00.188930","False",9.5,56.3,"7.0G",217,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:25:10.310192","False",4.8,56.2,"7.0G",221,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:25:20.423386","False",29.7,56,"7.0G",223,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:25:30.537789","False",22.2,56.1,"7.0G",223,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:25:40.679532","False",100,57,"6.8G",224,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:25:50.852067","False",41.7,56.8,"6.9G",223,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:26:00.967356","False",32.6,56.9,"6.9G",223,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:26:11.096748","False",63.9,57.3,"6.8G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:26:21.211863","False",25,55.9,"7.0G",220,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:26:31.326764","False",38.1,55.5,"7.1G",218,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:26:41.442193","False",61.1,56.3,"6.9G",219,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:26:51.584771","False",35.1,59.2,"6.5G",223,47.1,"492.9G"
"05217533e3bec23673ef0c601123b98d948933efe771871fd3dda5c7cf24ba91","2025-10-02 22:27:01.716224","False",79.1,58.9,"6.5G",222,47.1,"492.9G"
